Lake,Fstatistic,U1004_YN,Val,Signif
Karluk Lake ecotypes,Fst,w U1004_183,0.01274,*
Karluk Lake ecotypes,Fsc,w U1004_183,-0.00068,ns
Karluk Lake ecotypes,Fct,w U1004_183,0.01341,*
Red Lake ecotypes,Fst,w U1004_183,0.01788,*
Red Lake ecotypes,Fsc,w U1004_183,0.00114,ns
Red Lake ecotypes,Fct,w U1004_183,0.01676,*
Frazer Lake ecotypes,Fst,w U1004_183,0.00171,*
Frazer Lake ecotypes,Fsc,w U1004_183,0.00221,*
Frazer Lake ecotypes,Fct,w U1004_183,-0.0005,ns
Karluk Lake ecotypes,Fst,w/o U1004_183,0.00538,*
Karluk Lake ecotypes,Fsc,w/o U1004_183,-0.00073,ns
Karluk Lake ecotypes,Fct,w/o U1004_183,0.00611,*
Red Lake ecotypes,Fst,w/o U1004_183,0.01081,*
Red Lake ecotypes,Fsc,w/o U1004_183,0.00104,ns
Red Lake ecotypes,Fct,w/o U1004_183,0.00978,*
Frazer Lake ecotypes,Fst,w/o U1004_183,0.00169,*
Frazer Lake ecotypes,Fsc,w/o U1004_183,0.00222,*
Frazer Lake ecotypes,Fct,w/o U1004_183,-0.00053,ns
